phylum	taxon	total	color	d11_1203_1	d11_1203_2	d11_1203_3	d11_1203_4	d11_1207_1	d11_1207_2	d11_1207_3	d11_1207_4	d11_1268_1	d11_1268_2	d11_1269_1	d11_1269_2	d11_1270_1	d11_1270_2	d11_1271_1	d11_1271_2	d19_1203_1	d19_1203_2	d19_1203_3	d19_1203_4	d19_1207_1	d19_1207_2A	d19_1207_2B	d19_1207_3	d19_1207_4	d19_1268_1	d19_1268_2	d19_1268_3	d19_1269_1	d19_1269_2	d19_1269_3	d19_1270_1	d19_1270_2	d19_1270_3	d19_1271_1	d19_1271_2	d19_1271_3	d1_1203_1	d1_1203_2	d1_1207_1	d1_1207_2	d1_1268_1	d1_1268_2	d1_1269_2	d1_1269_3	d1_1270_1	d1_1270_2	d1_1271_1	d1_1271_2	d4_1203_2	d4_1203_3	d4_1203_4	d4_1207_1	d4_1207_2	d4_1207_3	d4_1268_3	d4_1269_1	d4_1269_2	d4_1270_1	d4_1270_2	d4_1271_1	d4_1271_3	dn7_1203_1	dn7_1207_1	dn7_1268_1	dn7_1269_1	dn7_1269_2	dn7_1270_1	dn7_1270_2	dn7_1271_1	dn7_1271_2	dn7_1271_3
01_Bacteroidetes	Porphyromonadaceae_unclassified	344587	darkgreen	0	0.0545464462990236	0	0	0	0.00512085210979107	0	0.0047796577765032	0.056590632073829	0.0754716981132075	0.0093984962406015	0.0399201596806387	0.0239143864963431	0.0181433323253704	0.0782676754500391	0.167141873955363	0	39.2300126457777	0.00925583117363939	0	0	0	41.5140118888754	0	0	61.9973468758793	39.2029527191179	49.009682214455	37.093043942359	35.4690302289918	28.3017183664361	56.8428093645485	35.2082250963878	39.35175806685	40.7924537112704	30.7481273696865	41.2243092418674	0	0	0.0218690771249453	0.444847934634589	0.121248863291907	0.0651121149228828	41.0551081350104	65.8758427680957	0.169779286926995	0.0877096809560355	0.0196417347580138	0.00637429882712902	34.3415625560404	28.5408299866131	26.4366013071895	16.9237549581313	22.1362151294295	25.1125539073978	0.305188199389624	45.1598056762976	51.5146831530139	0.0977741991142808	0.249687890137328	0.103984496856832	0.0407934322574066	21.9659574468085	29.2225042800638	27.7310013370433	36.1856853846574	30.4311935515199	33.4328952608523	38.5878227605993	50.6878913484434	41.9623591464877	36.3555228895422
01_Bacteroidetes	Bacteroides	158976	green4	0.0610420754305646	0.0436371570392189	0.027357909855687	0.00494339809184834	0.00545821734621473	0.0512085210979107	0.0753693096171239	0.023898288882516	0.00435312554414069	0.0030188679245283	0.00469924812030075	0	0.0179357898722573	0.0665255518596916	0.00372703216428758	0.0131091665847344	64.6673387096774	27.8488127019812	37.5231395779341	43.8414411119239	58.7295176552042	0.0973928678453701	0.00606575275991751	65.9611266677648	54.855535668627	17.0804914979432	18.125116800598	16.1423807802017	0.0177904287493329	0.0259922543082162	0.0490961838875251	23.3632107023411	16.0537037543409	21.5916654608595	0.0233486656237596	0.0647328997256558	0.0408329930583912	0.0198478332782005	0	0.0583175389998542	0.0907852927825692	0.0151561079114883	0	4.57877115193195	0.661493448670653	0.0169779286926995	0.0219274202390089	0.0432118164676304	0.0701172870984192	0	0.0107095046854083	0.057516339869281	59.371655228861	46.7202814777582	18.4161888062177	0.0435983141985177	14.1344924571721	16.0793405461103	0.0115028469546213	0	0.0283594082336815	0.00509917903217582	12.1446808510638	14.5817344589409	3.56303978607307	2.37847886707857	7.21083810818685	8.60712863401035	8.05440442035915	6.94505688332305	7.53116758571086	6.96136077278454
01_Bacteroidetes	Alistipes	45529	green3	0.00436014824504033	0.0163639338897071	0	0	0	0	0.00753693096171239	0	0	0	0	0	0	0	0.00372703216428758	0.00327729164618359	0	0	0	0	0.328871451650127	0.0149835181300569	0	0	0.0102275632830478	1.35470125554409	0.684451504391703	2.6475432887389	0.0978473581213307	2.53424479505107	8.07855389422004	0.0321070234113712	0.120313909928632	2.74345246708146	0.128417660930678	1.24842020899479	0.435551925956173	0.00661594442606682	0	0	0	0.0151561079114883	0.00406950718268018	1.02253189756583	0	0.0169779286926995	0	0.00785669390320553	0.00637429882712902	0	0	0.0156862745098039	0.0251841591638859	0	15.58693900763	0	3.04781385834825	1.62287480680062	0	0	0.00945313607789384	0	12.1872340425532	12.674892260464	20.5326491526036	23.6754333205752	18.9278430610858	18.6778176025488	16.6666666666667	11.7867536819825	15.5867897386718	13.1352372952541
01_Bacteroidetes	Bacteroidetes_unclassified	16438	chartreuse3	0	0	0	0	0	0	0	0	0.00435312554414069	0	0.00234962406015038	0	0.00199286554136192	0	0	0.00655458329236719	0	2.15680764367009	0	0	0	0	3.9488050467063	0	0	2.19351726540621	2.68641375443842	2.73191113253787	5.59508984166518	5.63771995945208	5.2131220709663	0	0.0136720352191627	0.0376211836203154	5.40755095846272	2.82666995468697	3.15775146318225	0	0	0	0	0.0151561079114883	0.00406950718268018	1.34829427201158	4.84671161429844	0	0	0	0	0	0	0	0.176289114147201	0.246293038451872	0.255912042083314	0.0290655427990118	1.01764254666326	1.10767645543534	0.0115028469546213	0.00960338038989724	0.00472656803894692	0.0101983580643516	0.14468085106383	0.153491941673062	0.531203700357749	1.49816829788397	0.757502185102457	0.328554360812425	0.340027627244714	0.388041273480907	0.698273795252937	0.351742965140697
01_Bacteroidetes	Bacteroidales_unclassified	11771	greenyellow	0	0	0	0	0	0	0	0	0	0.0060377358490566	0	0.00307078151389529	0	0	0	0	0	0.0281017282562878	0	0	0	0	0.00606575275991751	0	0	0.39528869474333	0.186880956830499	0.208910851311719	7.27628535847714	6.43568216671432	3.54831510823477	0.179264214046823	0.090235432446474	0.0694544928375054	6.40687384715963	2.32113683301994	3.4027494215326	0	0	0	0	0	0.00813901436536035	0.027146864537146	0.0954077089428826	0	0	0	0	0.0119552872257756	0.0160642570281124	0	0	0.0452374968585072	0.0473911189043173	0	0.0409102531321913	0.0154559505409583	0	0	0.00945313607789384	0	0.00851063829787234	0.0826495070547258	0.469771979908214	0.0273388375526273	0.0194231329513451	0.647152528872959	0.51004144086707	0.806949466443249	0.830136657875809	0.488240235195296
01_Bacteroidetes	Barnesiella	4902	darkolivegreen2	0	0	0	0	0	0	0	0	0.00435312554414069	0	0	0.0122831260555811	0	0.0120955548835803	0.0149081286571503	0	0	0.00702543206407194	0	0	0	0	0.0909862913987626	0	0	0.040198850312881	0.0163520837226687	0.0200875818568961	2.58257724011149	2.12356717698126	0.928364204418657	0.0240802675585284	0.0191408493068278	0.0115757488062509	2.20411403488291	2.24715637619062	2.07567714713488	0	0	0	0	0	0	0.0452447742285766	0	0	0.00548185505975222	0	0.00637429882712902	0.0358658616773268	0	0	0.0251841591638859	0.0150791656195024	0.00947822378086347	0.0435983141985177	0.0153413449245717	0.00515198351365276	0.0172542704319319	0.038413521559589	0.00945313607789384	0	0.00851063829787234	0.0118070724363894	0.0433635673761428	0.0437421400842036	0.0339904826648538	0.637196336121067	0.302837105514823	0.251344915777405	0.710261328218653	0.456740865182696
02_Firmicutes	Lactobacillus	398896	midnightblue	12.1212121212121	19.9912725685922	24.1775528349634	15.2652133076277	14.1204082746575	16.6478902089308	14.1129032258065	13.2731096453494	99.7039874629984	99.5381132075472	8.18139097744361	22.9571625978812	24.7772972757528	25.6365285757484	42.8795050501286	52.8332186281257	9.46140552995392	2.38162146972039	7.60366530914476	3.48390636430139	1.75398107546734	64.9835181300569	22.8739536576489	5.55921594465492	2.36256711838405	4.60276836082488	7.45187815361615	3.93716604395163	2.71007531281504	4.09378005354404	1.68712340995314	5.49297658862876	8.44931776544256	2.85342208074085	2.49130262205515	0.588761135600012	1.04124132298897	96.6854118425405	78.2608695652174	91.0263886863974	60.354062641852	98.4692331009397	99.007040247426	4.85928875214913	19.0688207607175	99.1086587436333	90.9494572963491	96.2562853551226	86.9964303926568	20.5929822463985	17.9651941097724	7.50849673202614	2.85840206510105	3.61397336014074	6.21771480024643	73.4195611103037	7.30248018409614	7.12519319938176	29.0331857134641	30.7404206280611	52.0631469490003	66.2077405537708	14.136170212766	7.39713088139796	1.8718606584035	3.59779102192575	3.6418374283772	3.44982078853047	6.92274997343534	6.12928829702796	5.93382881802925	9.20306593868123
02_Firmicutes	Lachnospiraceae_unclassified	79266	mediumblue	0.013080444735121	0.163639338897071	0.191505368989809	0.0840377675614217	0.0163746520386442	0.0307251126587464	0.0263792583659934	0	0.0174125021765628	0.0120754716981132	0.00469924812030075	0	0	0.00604777744179014	0.0111810964928627	0.0196637498771016	0	0	0.106442058496853	0.0228602779809802	0.24232633279483	0.0224752771950854	0.127380807958268	0	2.35745333674252	3.39680285143845	7.83732012707905	10.2245791651601	19.5872620530155	13.4821823096717	17.576433831734	1.4180602006689	2.83284569741052	15.2221096802199	6.16871745779729	17.4501402546161	13.9376616305975	0	0	0	0.0998638220608262	0.0303122158229767	0	8.35218532259524	0.025442055718102	0.0212224108658744	0.0274092752987611	0.0157133878064111	0.00637429882712902	3.70016139637755	2.25435073627845	9.30196078431373	0.365170307876346	2.62880120633325	5.35045732429743	5.78404301700334	2.53132191255433	1.45801133436373	0.0230056939092425	0.0480169019494862	10.0108711064896	0.0815868645148131	23.6255319148936	17.5984414664384	23.9113937773281	14.6153425556345	16.8689909682432	9.1447630426125	7.23621294230156	7.17876355939677	4.49532486214337	8.15308693826124
02_Firmicutes	Clostridiales_unclassified	67081	blue3	24.0113363854371	21.5131184203349	25.9079406333356	25.587028523407	29.5180394083292	30.7968045882835	23.454929152849	19.5010037281331	0.00435312554414069	0	5.06109022556391	4.87640104406571	0.00597859662408577	0	0	0	3.88104838709677	0.892229872137136	3.34598296927064	2.57863935625457	2.37710593122548	0	0.00606575275991751	4.98270466150552	2.88417284581948	1.27430355491833	1.22407026723977	1.49049857378169	2.81088774239459	1.61411899254022	11.0198616380272	1.57324414715719	1.34806267260944	5.26696570684416	1.30519040836816	2.55232576061157	2.34789710085749	0.00661594442606682	0.0155557283969822	0.0145793847499636	0	0.0151561079114883	0	1.85503574337164	0	0.00424448217317487	0.0438548404780178	0	0	0.101619941419093	0.107095046854083	0.298039215686275	0.0629603979097148	0.809248554913295	13.4022084261409	0.0145327713995059	1.08412170800307	1.17980422462648	0.00575142347731063	0.00960338038989724	0.00472656803894692	0	2.45957446808511	4.05572938189976	2.93065442850432	1.93012193121548	2.55414198310187	2.34966148944644	1.23260014876209	1.26554369873887	1.5134260369216	1.42272154556909
02_Firmicutes	Turicibacter	35212	blue	0	0	0	0	0	0	0	0	0.0261187532648442	0.00905660377358491	0.00469924812030075	0.00307078151389529	3.14673468981048	0.0725733293014817	0.0559054824643137	0.101596041031691	0	3.42138541520303	0	0	0	0	0	0.00411793773678142	0.00511378164152391	1.283683286658	0.168192861147449	0.875818568960669	1.28387594141019	1.40878018350532	0.0178531577772819	3.4943143812709	2.57307702824642	2.28910432643612	4.08368161759555	2.02521500570266	1.23860078943787	0	0	0	0	0.0303122158229767	0	0.0542937290742919	0.012721027859051	0.00424448217317487	0.0274092752987611	0.00392834695160277	0	0	0	0.00522875816993464	0	0.00502638853983413	0.00473911189043173	11.7279465194013	0.0102275632830478	0.0154559505409583	14.4360729280497	5.5795640065303	20.924516708418	20.5496914996686	0	1.2220319971663	2.529541430275	1.61845918311553	0.165096630086433	11.1708482676225	11.0880884071831	6.42031925213864	10.1444497722369	11.8017639647207
