label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1203_4	d11_1269_2	10	0.388605	0.945438	0.216098	0.204854	0.227343	0.064687	52794
0.03	d11_1207_1	d11_1269_2	13	0.459419	0.946651	0.21475	0.203497	0.226004	0.085559	50886
0.03	d11_1207_2	d11_1269_2	11	0.460657	0.943004	0.379489	0.366687	0.392292	0.101941	52093
0.03	d11_1207_3	d11_1269_2	11	0.286679	0.942087	0.158075	0.149175	0.166975	0.066764	59101
0.03	d11_1207_4	d11_1269_2	12	0.326117	0.9373	0.097471	0.090497	0.104446	0.042249	53487
0.03	d11_1268_1	d11_1269_2	10	0.736284	0.942706	0.797244	0.792083	0.802405	0.400107	55537
0.03	d11_1268_2	d11_1269_2	15	0.775887	0.943543	0.797031	0.791863	0.802198	0.399618	65690
0.03	d11_1269_1	d11_1269_2	14	0.25226	0.942181	0.088821	0.083106	0.094537	0.026989	75125
0.03	d11_1203_1	d11_1270_1	5	0.685286	0.956764	0.457831	0.447316	0.468346	0.221923	73114
0.03	d11_1203_2	d11_1270_1	6	0.717393	0.953297	0.487029	0.475323	0.498735	0.213882	68512
0.03	d11_1203_3	d11_1270_1	5	0.780185	0.953294	0.596513	0.584782	0.608244	0.250589	64800
0.03	d11_1203_4	d11_1270_1	6	0.718157	0.956788	0.49324	0.482098	0.504382	0.229201	70408
0.03	d11_1207_1	d11_1270_1	6	0.739796	0.950993	0.459732	0.447887	0.471578	0.231965	68500
0.03	d11_1207_2	d11_1270_1	6	0.769234	0.952154	0.642474	0.632693	0.652255	0.281054	69707
0.03	d11_1207_3	d11_1270_1	5	0.662934	0.948703	0.466937	0.457057	0.476817	0.231493	76715
0.03	d11_1207_4	d11_1270_1	6	0.673675	0.944207	0.353898	0.343041	0.364755	0.193972	71101
0.03	d11_1268_1	d11_1270_1	8	0.683941	0.959104	0.828348	0.824712	0.831985	0.395122	73151
0.03	d11_1268_2	d11_1270_1	10	0.72239	0.953471	0.82823	0.824591	0.831869	0.395504	83304
0.03	d11_1269_1	d11_1270_1	9	0.42639	0.951189	0.2779	0.270988	0.284813	0.168901	92739
0.03	d11_1269_2	d11_1270_1	11	0.437373	0.955775	0.209792	0.201925	0.217658	0.122806	82744
0.03	d11_1203_1	d11_1270_2	6	0.416823	0.961516	0.463983	0.453455	0.474511	0.215916	39470
0.03	d11_1203_2	d11_1270_2	6	0.444534	0.955772	0.495031	0.483105	0.506957	0.207242	34868
0.03	d11_1203_3	d11_1270_2	7	0.54256	0.960328	0.604166	0.592137	0.616196	0.245165	31156
0.03	d11_1203_4	d11_1270_2	6	0.460178	0.959171	0.500473	0.489251	0.511695	0.223774	36764
